City,State,Restaurant_Name,Place_ID,Price_Range,Rating,Ratings_Count,Lat,Lng
Independence,IA,Subway,ChIJE_x81Ags5YcRew0YnYuaYEs,1,4,123,42.4681632,-91.9144893
Independence,IA,Buttermilk Cafe,ChIJhbexKPcr5YcRifkGhQE2E6Q,1,4.4,233,42.4689083,-91.9057099
Summerton,SC,D's Spot,ChIJnw6CnLEQ_4gRiF473Wu44QU,0,4.4,25,33.6120596,-80.3595619
Summerton,SC,Daniel's Pizza,ChIJOQtX-68Q_4gRppqnRlEG8gM,0,4.2,22,33.6087285,-80.3523511
Summerton,SC,Golden Dragon,ChIJr9wCt6QQ_4gRrZGvwEEvZ7I,0,3.9,93,33.6081701,-80.3510065
Summerton,SC,Summerton Diner,ChIJy0Bd4KUQ_4gRRkp4IaRbSzU,1,4.6,438,33.6036111,-80.3536111
Summerton,SC,Subway,ChIJN38sK0sb_4gRU-5i1lntz_g,1,4.1,84,33.5919182,-80.3555738
Summerton,SC,McDonald's,ChIJnxxpyWob_4gR6oVrGGmxXmM,1,3,91,33.5916488,-80.355376
Summerton,SC,Dairy Queen,ChIJhT_iUQYa_4gRwhDY5CqVDts,1,3.8,403,33.5870092,-80.357622
Hardeeville,SC,Amoco,ChIJo3qhe2WQ-4gR8NoSTFpiGes,0,0,0,32.231234,-81.020687
Hardeeville,SC,Flavor Fiesta Food Truck,ChIJzQ_7BNeR-4gRDdMy3QISv9s,0,4.8,15,32.2312251,-81.0206982
Bluffton,SC,Wendy's,ChIJ3drGVfXU-YgRJm2kHKalH54,1,3.6,442,32.2454284,-80.9779861
Bluffton,SC,Parker's Kitchen,ChIJVyXaKfGI-4gRv2tb4mlsORk,0,2.9,33,32.245128,-80.977525
Hardeeville,SC,Black Dream Restaurant & Lounge,ChIJ02Bb1Wqa-4gRt4BPCcovIMA,0,4.5,36,32.196947,-81.0445067
Hardeeville,SC,Hunt Brothers Pizza,ChIJywOaT1Kb-4gRCEA0LSfcN2w,1,4,4,32.1952043,-81.0300516
Hardeeville,SC,Shell,ChIJC4QSe2WQ-4gR9_nw3elwESQ,2,4.1,95,32.195202,-81.0300138
Hardeeville,SC,The Pink Pig,ChIJgXRMOfaa-4gRNnAGIwe5hqw,1,4.5,181,32.1941512,-81.0294164
Hardeeville,SC,Don Machete Mexican Restaurant,ChIJcWQfBqWb-4gRXqYaiIHebWo,0,4.7,93,32.1941237,-81.0302203
Hardeeville,SC,Latitude Bar & Chill,ChIJAfFpF82X-4gRu8qUdxFp2qs,0,4.6,39,32.2844657,-81.0119781
Hardeeville,SC,Mi Tierrita-Hardeeville,ChIJ6_y5qAOa-4gRs8qCZTpIWHE,1,4.1,646,32.2684147,-81.079193
Hardeeville,SC,Bodega Guerrero,ChIJNVbpMtSW-4gRp9plaileI5E,0,0,0,32.2695118,-81.0800075
